model,cost_bps,portfolio,monthly_return,ann_vol,sharpe,max_drawdown,calmar,hit_ratio,n_periods
ridge,0,long_only,0.0073,0.2798,0.313,-0.5054,0.173,0.591,93
ridge,0,long_short,0.0106,0.1733,0.736,-0.1806,0.706,0.602,93
ridge,5,long_only,0.0067,0.2798,0.288,-0.5142,0.157,0.57,93
ridge,5,long_short,0.0096,0.1733,0.663,-0.1832,0.627,0.591,93
ridge,10,long_only,0.0061,0.2797,0.263,-0.5229,0.141,0.57,93
ridge,10,long_short,0.0085,0.1732,0.59,-0.1857,0.551,0.581,93
ridge,20,long_only,0.005,0.2796,0.213,-0.5397,0.11,0.57,93
ridge,20,long_short,0.0064,0.1732,0.445,-0.1907,0.404,0.57,93
lgbm,0,long_only,0.0089,0.2623,0.409,-0.488,0.22,0.581,93
lgbm,0,long_short,0.013,0.1274,1.226,-0.1152,1.357,0.656,93
lgbm,5,long_only,0.0084,0.2622,0.382,-0.4956,0.202,0.581,93
lgbm,5,long_short,0.0118,0.1274,1.11,-0.1184,1.195,0.624,93
lgbm,10,long_only,0.0078,0.2621,0.356,-0.503,0.185,0.581,93
lgbm,10,long_short,0.0106,0.1275,0.995,-0.1216,1.043,0.613,93
lgbm,20,long_only,0.0066,0.2619,0.303,-0.5177,0.153,0.57,93
lgbm,20,long_short,0.0081,0.1275,0.764,-0.128,0.761,0.602,93
ranker,0,long_only,0.0046,0.2856,0.195,-0.6335,0.088,0.548,93
ranker,0,long_short,0.003,0.1948,0.187,-0.4927,0.074,0.538,93
ranker,5,long_only,0.0041,0.2856,0.174,-0.6394,0.078,0.548,93
ranker,5,long_short,0.0022,0.1946,0.137,-0.5071,0.053,0.516,93
ranker,10,long_only,0.0036,0.2855,0.153,-0.6453,0.068,0.548,93
ranker,10,long_short,0.0014,0.1944,0.087,-0.5212,0.032,0.495,93
ranker,20,long_only,0.0027,0.2854,0.112,-0.6567,0.049,0.538,93
ranker,20,long_short,-0.0002,0.194,-0.014,-0.5481,-0.005,0.495,93
ensemble,0,long_only,0.0086,0.263,0.391,-0.4472,0.23,0.613,93
ensemble,0,long_short,0.0136,0.1629,1.0,-0.1735,0.938,0.634,93
ensemble,5,long_only,0.008,0.2629,0.365,-0.4552,0.211,0.602,93
ensemble,5,long_short,0.0125,0.1629,0.92,-0.1762,0.85,0.613,93
ensemble,10,long_only,0.0074,0.2628,0.338,-0.4631,0.192,0.602,93
ensemble,10,long_short,0.0114,0.1629,0.839,-0.1789,0.764,0.613,93
ensemble,20,long_only,0.0062,0.2627,0.285,-0.4798,0.156,0.602,93
ensemble,20,long_short,0.0092,0.1629,0.679,-0.1843,0.6,0.591,93
