model,cost_bps,spec,factor,coef,t_stat_hac,p_value_hac,n_months,r2,alpha_ann
ridge,0,CAPM,alpha,0.013554695302188474,2.260384314095613,0.023797409175087353,93,0.07738497303688219,0.1626563436262617
ridge,0,CAPM,mktrf,-0.29506422421375594,-1.6605207407802087,0.09680973895551602,93,0.07738497303688219,
ridge,0,FF3,alpha,0.014194935986211323,2.701294229107753,0.006907020533902779,93,0.14339857442287973,0.17033923183453586
ridge,0,FF3,mktrf,-0.3533689751586617,-2.434664759803456,0.014905592226797533,93,0.14339857442287973,
ridge,0,FF3,smb,0.3070799824368877,1.5992111370694826,0.10977369653932495,93,0.14339857442287973,
ridge,0,FF3,hml,-0.26256896718239914,-1.3288943790198344,0.18388281856077726,93,0.14339857442287973,
ridge,10,CAPM,alpha,0.013554695302188474,2.260384314095613,0.023797409175087353,93,0.07738497303688219,0.1626563436262617
ridge,10,CAPM,mktrf,-0.29506422421375594,-1.6605207407802087,0.09680973895551602,93,0.07738497303688219,
ridge,10,FF3,alpha,0.014194935986211323,2.701294229107753,0.006907020533902779,93,0.14339857442287973,0.17033923183453586
ridge,10,FF3,mktrf,-0.3533689751586617,-2.434664759803456,0.014905592226797533,93,0.14339857442287973,
ridge,10,FF3,smb,0.3070799824368877,1.5992111370694826,0.10977369653932495,93,0.14339857442287973,
ridge,10,FF3,hml,-0.26256896718239914,-1.3288943790198344,0.18388281856077726,93,0.14339857442287973,
lgbm,0,CAPM,alpha,0.014585438509590116,3.879428514865219,0.00010470216479145022,93,0.07241133113810672,0.1750252621150814
lgbm,0,CAPM,mktrf,-0.21020368157365607,-1.8040102662040807,0.0712296975724268,93,0.07241133113810672,
lgbm,0,FF3,alpha,0.014438872548952684,3.9878995145765783,6.666088579338289e-05,93,0.11983552281587129,0.17326647058743222
lgbm,0,FF3,mktrf,-0.21414721459294778,-2.410570844029548,0.01592757768104367,93,0.11983552281587129,
lgbm,0,FF3,smb,0.03526185652523592,0.23245974004277872,0.8161809535687008,93,0.11983552281587129,
lgbm,0,FF3,hml,-0.1975354630074096,-1.7073563107741425,0.08775584558461876,93,0.11983552281587129,
lgbm,10,CAPM,alpha,0.014585438509590116,3.879428514865219,0.00010470216479145022,93,0.07241133113810672,0.1750252621150814
lgbm,10,CAPM,mktrf,-0.21020368157365607,-1.8040102662040807,0.0712296975724268,93,0.07241133113810672,
lgbm,10,FF3,alpha,0.014438872548952684,3.9878995145765783,6.666088579338289e-05,93,0.11983552281587129,0.17326647058743222
lgbm,10,FF3,mktrf,-0.21414721459294778,-2.410570844029548,0.01592757768104367,93,0.11983552281587129,
lgbm,10,FF3,smb,0.03526185652523592,0.23245974004277872,0.8161809535687008,93,0.11983552281587129,
lgbm,10,FF3,hml,-0.1975354630074096,-1.7073563107741425,0.08775584558461876,93,0.11983552281587129,
ensemble,0,CAPM,alpha,0.016440713889847504,3.056721884869668,0.002237717932610857,93,0.09122653782468548,0.19728856667817005
ensemble,0,CAPM,mktrf,-0.3015406929526015,-1.8886529112079824,0.05893835216119401,93,0.09122653782468548,
ensemble,0,FF3,alpha,0.01668648252363633,3.4177934620733517,0.0006313099439669603,93,0.1482126080152637,0.20023779028363597
ensemble,0,FF3,mktrf,-0.3344968089511935,-2.656816553632234,0.007888235433242288,93,0.1482126080152637,
ensemble,0,FF3,smb,0.18243658574858246,1.0145497174449756,0.31032051853525255,93,0.1482126080152637,
ensemble,0,FF3,hml,-0.2583616034345836,-1.5110018923379442,0.13078796874187498,93,0.1482126080152637,
ensemble,10,CAPM,alpha,0.016440713889847504,3.056721884869668,0.002237717932610857,93,0.09122653782468548,0.19728856667817005
ensemble,10,CAPM,mktrf,-0.3015406929526015,-1.8886529112079824,0.05893835216119401,93,0.09122653782468548,
ensemble,10,FF3,alpha,0.01668648252363633,3.4177934620733517,0.0006313099439669603,93,0.1482126080152637,0.20023779028363597
ensemble,10,FF3,mktrf,-0.3344968089511935,-2.656816553632234,0.007888235433242288,93,0.1482126080152637,
ensemble,10,FF3,smb,0.18243658574858246,1.0145497174449756,0.31032051853525255,93,0.1482126080152637,
ensemble,10,FF3,hml,-0.2583616034345836,-1.5110018923379442,0.13078796874187498,93,0.1482126080152637,
