feature,importance_regressor
close_to_ma20,108
revision_1m,94
turnover_20d,92
ret_120d,89
beta_252d,85
price_position_252d,82
gross_profitability,81
idio_vol_252d,80
earnings_yield,78
roughness_x_momentum,76
revision_3m,73
ret_5d,71
ma20_to_ma60,69
downside_vol_60d,68
vol_of_vol_126d,68
revenue_growth,68
close_to_ma60,64
ret_20d,64
mom_12_1,62
est_disp,62
ret_60d,62
idio_roughness_126d,61
max_dd_60d,59
sue_ibes,58
sales_to_price,57
vol_of_vol_60d,56
ret_1d,55
debt_to_assets,54
sue,54
asset_growth,54
book_to_market,51
max_ret_20d,51
accruals,50
rv_120d,49
rv_60d,49
skew_60d,48
rv_20d,48
dollar_vol_20d,46
roa,46
ret_252d,46
roughness_x_illiquidity,45
amihud_20d,44
max_dd_252d,43
debt_to_equity,38
roe,38
num_analysts,37
hurst_126d,29
close_to_52w_high,28
hurst_252d,28
num_analysts_missing,11
revenue_growth_missing,10
est_disp_missing,9
sue_ibes_missing,7
revision_3m_missing,5
book_to_market_missing,4
roe_missing,3
sue_missing,3
asset_growth_missing,2
debt_to_assets_missing,1
revision_1m_missing,1
roa_missing,1
accruals_missing,1
sales_to_price_missing,0
gross_profitability_missing,0
debt_to_equity_missing,0
hurst_126d_missing,0
ret_20d_missing,0
hurst_252d_missing,0
vol_of_vol_60d_missing,0
vol_of_vol_126d_missing,0
idio_roughness_126d_missing,0
roughness_x_momentum_missing,0
roughness_x_illiquidity_missing,0
earnings_yield_missing,0
ret_5d_missing,0
turnover_20d_missing,0
max_ret_20d_missing,0
ret_60d_missing,0
ret_120d_missing,0
ret_252d_missing,0
mom_12_1_missing,0
close_to_ma20_missing,0
close_to_ma60_missing,0
ma20_to_ma60_missing,0
price_position_252d_missing,0
close_to_52w_high_missing,0
rv_20d_missing,0
dollar_vol_20d_missing,0
rv_60d_missing,0
rv_120d_missing,0
downside_vol_60d_missing,0
beta_252d_missing,0
idio_vol_252d_missing,0
max_dd_60d_missing,0
max_dd_252d_missing,0
skew_60d_missing,0
amihud_20d_missing,0
ret_1d_missing,0
