test,model,n,ic_full,t_full,ic_norough,t_norough,ic_diff,t_diff,value,t
paired_incremental_ic,ridge,93,0.026313238951392308,2.7836763116814094,0.026871327003662477,2.832862747878731,-0.0005580880522701653,-0.7440741486421544,,
paired_incremental_ic,lgbm,93,0.021848483208722316,2.562575483408964,0.025153761166483712,3.4705304382574806,-0.003305277957761386,-1.148652715398922,,
standalone_rank_ic,,218,,,,,,,0.013371597247813928,5.327686050865498
decile_ls_monthly,,218,,,,,,,0.004227939655791965,4.300672001338477
fm_lambda_univariate_bp,,218,,,,,,,14.718343620489769,5.293741054347662
fm_lambda_with_controls_bp,,213,,,,,,,7.723776937114085,3.3827374193929742
ff3_alpha_monthly,,218,,,,,,,0.004482986291206709,4.500735910926652
ff3_r2,,218,,,,,,,0.017426173607361317,
monthly_turnover_oneside,,217,,,,,,,0.4425034899506703,
ls_net_5bps_ann,,218,,,,,,,0.045425233990095536,
ls_net_10bps_ann,,218,,,,,,,0.040115192110687495,
ls_net_20bps_ann,,218,,,,,,,0.029495108351871406,
