year,Whittle_126d,Whittle_252d,Idio_Whittle_126d,Volterra_spread,Idio_Volterra_spread,Vol_of_vol_126d
2005,0.0171,0.0198,0.0251,-0.0114,-0.0089,0.0079
2006,-0.0003,0.0015,-0.0054,-0.0013,0.0047,-0.0174
2007,0.0111,0.006,0.0002,-0.0258,-0.0253,-0.0094
2008,-0.015,-0.0212,-0.0045,0.0273,0.0177,0.0189
2009,0.0363,0.0382,0.0141,-0.0212,-0.0268,-0.0276
2010,0.0155,0.0213,0.0089,-0.0165,-0.0151,-0.0121
2011,-0.0123,-0.0136,-0.001,0.0244,0.0149,-0.0089
2012,0.0122,0.0078,-0.0029,-0.0094,-0.0079,-0.0029
2013,0.0129,0.0136,-0.0038,0.0026,-0.0064,0.021
2014,0.0182,0.0173,0.0084,-0.011,-0.0079,-0.0163
2015,-0.0104,0.003,0.0032,-0.0119,-0.0101,0.024
2016,-0.0175,-0.0127,0.0021,-0.0014,-0.0036,-0.0107
2017,0.0023,0.0037,0.005,-0.0088,-0.0097,0.0161
2018,0.0058,0.0045,-0.0073,0.0078,0.0177,-0.0017
2019,0.0032,-0.0073,-0.004,0.0119,-0.0021,-0.0012
2020,0.0089,0.0026,-0.0142,-0.0163,-0.0041,-0.026
2021,0.0052,0.0096,0.0106,-0.0265,-0.0322,-0.0778
2022,-0.0024,-0.0034,-0.001,0.0143,0.0162,-0.0183
2023,-0.0145,-0.0035,-0.0093,-0.0219,-0.0086,-0.0221
